"mzn","version","dzn","solver","timeout","n","mode","learning","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"toy.mzn","Gini","toy_30_33.dzn","Chuffed",1200000,30,"Dcmp","True","TIMEOUT/ERROR","False","80","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Gini","toy_31_32.dzn","Chuffed",1200000,31,"Dcmp","True","TIMEOUT/ERROR","False","1201200","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","0","False"
"toy.mzn","Spread","toy_40_41.dzn","Chuffed",1200000,40,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_36_37.dzn","Chuffed",1200000,36,"Dcmp","True","TIMEOUT/ERROR","False","100","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Gini","toy_37_38.dzn","Chuffed",1200000,37,"Dcmp","True","TIMEOUT/ERROR","False","100","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Spread","toy_9_11.dzn","Chuffed",1200000,9,"Dcmp","True","68454","True","412010","828308","3021","44110136","18","50","828308","104928","3020","False"
"toy.mzn","Spread","toy_2_5.dzn","Chuffed",1200000,2,"Dcmp","True","25","True","90","4","2","145","11","3","4","1","2","False"
"toy.mzn","Spread","toy_16_19.dzn","Chuffed",1200000,16,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_22_24.dzn","Chuffed",1200000,22,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_36_39.dzn","Chuffed",1200000,36,"Dcmp","True","TIMEOUT/ERROR","False","100","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Spread","toy_18_20.dzn","Chuffed",1200000,18,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_30_34.dzn","Chuffed",1200000,30,"Dcmp","True","TIMEOUT/ERROR","False","1201120","2042","0","722788900","1027","27","2042","832","0","False"
"toy.mzn","Gini","toy_20_24.dzn","Chuffed",1200000,20,"Dcmp","True","4573","False","1200244","995231","32","1009977486","421","184","995231","63295","31","False"
"toy.mzn","Gini","toy_13_17.dzn","Chuffed",1200000,13,"Dcmp","True","2904","False","1199997","2250936","124","722365261","193","215","2250936","246983","123","False"
"toy.mzn","Spread","toy_18_19.dzn","Chuffed",1200000,18,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_7_11.dzn","Chuffed",1200000,7,"Dcmp","True","936","True","2590","25426","275","5657985","46","31","25426","4422","274","False"
"toy.mzn","Spread","toy_10_13.dzn","Chuffed",1200000,10,"Dcmp","True","91256","False","1199931","473576","712","33171136","19","51","473576","40520","711","False"
"toy.mzn","Spread","toy_28_31.dzn","Chuffed",1200000,28,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_25_29.dzn","Chuffed",1200000,25,"Dcmp","True","TIMEOUT/ERROR","False","1200780","77210","1","1119009186","685","122","77210","38502","0","False"
"toy.mzn","Spread","toy_6_8.dzn","Chuffed",1200000,6,"Dcmp","True","2500","True","680","9934","220","423050","15","24","9934","843","219","False"
"toy.mzn","Gini","toy_16_17.dzn","Chuffed",1200000,16,"Dcmp","True","3309","False","1200103","746450","236","498671096","304","170","746450","92981","235","False"
"toy.mzn","Spread","toy_7_10.dzn","Chuffed",1200000,7,"Dcmp","True","7171","True","2830","17473","667","1053642","16","123","17473","2518","666","False"
"toy.mzn","Gini","toy_17_21.dzn","Chuffed",1200000,17,"Dcmp","True","2600","False","1200125","435494","145","941799900","322","128","435494","49043","144","False"
"toy.mzn","Spread","toy_29_29.dzn","Chuffed",1200000,29,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_16_19.dzn","Chuffed",1200000,16,"Dcmp","True","2777","False","1199974","3873993","128","1118970301","154","109","3873993","417499","127","False"
"toy.mzn","Gini","toy_18_22.dzn","Chuffed",1200000,18,"Dcmp","True","3453","False","1200186","231380","138","228961262","376","208","231380","63570","137","False"
"toy.mzn","Spread","toy_26_29.dzn","Chuffed",1200000,26,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_23_24.dzn","Chuffed",1200000,23,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_29_32.dzn","Chuffed",1200000,29,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_34_35.dzn","Chuffed",1200000,34,"Dcmp","True","TIMEOUT/ERROR","False","90","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Spread","toy_37_38.dzn","Chuffed",1200000,37,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_37_39.dzn","Chuffed",1200000,37,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_33_34.dzn","Chuffed",1200000,33,"Dcmp","True","TIMEOUT/ERROR","False","90","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Spread","toy_39_41.dzn","Chuffed",1200000,39,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_31_35.dzn","Chuffed",1200000,31,"Dcmp","True","TIMEOUT/ERROR","False","90","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Gini","toy_15_15.dzn","Chuffed",1200000,15,"Dcmp","True","2171","False","1200024","1520132","68","1846573825","223","106","1520132","120204","67","False"
"toy.mzn","Spread","toy_33_36.dzn","Chuffed",1200000,33,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_29_29.dzn","Chuffed",1200000,29,"Dcmp","True","TIMEOUT/ERROR","False","1006080","5099","1","709529183","874","44","5099","118","0","True"
"toy.mzn","Gini","toy_30_31.dzn","Chuffed",1200000,30,"Dcmp","True","TIMEOUT/ERROR","False","90","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Spread","toy_38_39.dzn","Chuffed",1200000,38,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_16_16.dzn","Chuffed",1200000,16,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_16_18.dzn","Chuffed",1200000,16,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_7_7.dzn","Chuffed",1200000,7,"Dcmp","True","9412","True","100720","560461","167","24142616","16","172","560461","54787","166","False"
"toy.mzn","Spread","toy_32_35.dzn","Chuffed",1200000,32,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_14_14.dzn","Chuffed",1200000,14,"Dcmp","True","3752","False","1199990","1400990","418","709476219","187","141","1400990","128022","417","False"
"toy.mzn","Gini","toy_5_8.dzn","Chuffed",1200000,5,"Dcmp","True","988","True","300","3542","61","625651","34","21","3542","2007","60","False"
"toy.mzn","Gini","toy_40_44.dzn","Chuffed",1200000,40,"Dcmp","True","TIMEOUT/ERROR","False","110","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Spread","toy_32_36.dzn","Chuffed",1200000,32,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_35_39.dzn","Chuffed",1200000,35,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_18_18.dzn","Chuffed",1200000,18,"Dcmp","True","2353","False","1200051","1233001","85","1603303086","247","104","1233001","131657","84","False"
"toy.mzn","Gini","toy_21_23.dzn","Chuffed",1200000,21,"Dcmp","True","4608","False","1200319","526786","127","847313891","514","830","526786","48762","126","False"
"toy.mzn","Gini","toy_8_9.dzn","Chuffed",1200000,8,"Dcmp","True","418","True","536350","1917578","446","799492795","76","42","1917578","121591","445","False"
"toy.mzn","Spread","toy_26_28.dzn","Chuffed",1200000,26,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_20_23.dzn","Chuffed",1200000,20,"Dcmp","True","3642","False","1200131","736554","329","1077712288","337","405","736554","64053","328","False"
"toy.mzn","Gini","toy_17_20.dzn","Chuffed",1200000,17,"Dcmp","True","2463","False","1200042","1576336","290","857903394","232","122","1576336","253441","289","False"
"toy.mzn","Spread","toy_5_9.dzn","Chuffed",1200000,5,"Dcmp","True","256","True","220","675","235","90133","14","18","675","78","235","False"
"toy.mzn","Spread","toy_4_5.dzn","Chuffed",1200000,4,"Dcmp","True","1718","True","90","61","18","4769","13","11","61","56","18","False"
"toy.mzn","Gini","toy_23_27.dzn","Chuffed",1200000,23,"Dcmp","True","TIMEOUT/ERROR","False","1200650","210338","1","1593103492","565","850","210338","94087","0","False"
"toy.mzn","Spread","toy_9_9.dzn","Chuffed",1200000,9,"Dcmp","True","16098","False","1199933","2103165","890","115466306","18","259","2103165","150766","889","False"
"toy.mzn","Gini","toy_7_8.dzn","Chuffed",1200000,7,"Dcmp","True","734","True","50800","248558","350","77859921","64","44","248558","22767","349","False"
"toy.mzn","Gini","toy_38_42.dzn","Chuffed",1200000,38,"Dcmp","True","TIMEOUT/ERROR","False","100","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Gini","toy_22_24.dzn","Chuffed",1200000,22,"Dcmp","True","TIMEOUT/ERROR","False","1200560","276257","1","1812341034","478","963","276257","32914","0","False"
"toy.mzn","Gini","toy_19_21.dzn","Chuffed",1200000,19,"Dcmp","True","4249","False","1200213","508977","120","709213969","385","152","508977","77263","119","False"
"toy.mzn","Gini","toy_23_26.dzn","Chuffed",1200000,23,"Dcmp","True","TIMEOUT/ERROR","False","1200570","190076","1","1456232753","463","115","190076","98444","0","False"
"toy.mzn","Spread","toy_24_24.dzn","Chuffed",1200000,24,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_15_19.dzn","Chuffed",1200000,15,"Dcmp","True","3218","False","1199969","2728771","91","798445901","148","131","2728771","241696","90","False"
"toy.mzn","Gini","toy_8_8.dzn","Chuffed",1200000,8,"Dcmp","True","1678","False","1200023","3049675","282","1104930541","79","71","3049675","222587","281","False"
"toy.mzn","Spread","toy_11_15.dzn","Chuffed",1200000,11,"Dcmp","True","268836","False","1199947","552426","1938","28846700","20","374","552426","98072","1937","False"
"toy.mzn","Spread","toy_11_13.dzn","Chuffed",1200000,11,"Dcmp","True","281641","False","1199933","613178","980","36926380","20","109","613178","62542","979","False"
"toy.mzn","Gini","toy_18_20.dzn","Chuffed",1200000,18,"Dcmp","True","2314","False","1200098","531899","325","1030528400","277","139","531899","55503","324","False"
"toy.mzn","Gini","toy_35_39.dzn","Chuffed",1200000,35,"Dcmp","True","TIMEOUT/ERROR","False","100","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Gini","toy_26_29.dzn","Chuffed",1200000,26,"Dcmp","True","TIMEOUT/ERROR","False","1200790","26015","1","1142888467","706","115","26015","4295","0","False"
"toy.mzn","Spread","toy_36_37.dzn","Chuffed",1200000,36,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_19_20.dzn","Chuffed",1200000,19,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_4_7.dzn","Chuffed",1200000,4,"Dcmp","True","326","True","110","395","53","55403","22","13","395","251","53","False"
"toy.mzn","Gini","toy_15_18.dzn","Chuffed",1200000,15,"Dcmp","True","2089","False","1199987","1317582","428","1974132566","172","88","1317582","115265","427","False"
"toy.mzn","Gini","toy_35_36.dzn","Chuffed",1200000,35,"Dcmp","True","TIMEOUT/ERROR","False","100","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Gini","toy_13_16.dzn","Chuffed",1200000,13,"Dcmp","True","3126","False","1199963","2173157","431","857283442","151","91","2173157","157140","430","False"
"toy.mzn","Gini","toy_24_24.dzn","Chuffed",1200000,24,"Dcmp","True","TIMEOUT/ERROR","False","1200630","58530","1","1480065508","535","93","58530","8354","0","False"
"toy.mzn","Spread","toy_2_4.dzn","Chuffed",1200000,2,"Dcmp","True","0","True","180","3","2","107","11","3","3","0","2","False"
"toy.mzn","Spread","toy_40_42.dzn","Chuffed",1200000,40,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_19_20.dzn","Chuffed",1200000,19,"Dcmp","True","4068","False","1200194","1818697","290","712787844","322","212","1818697","292771","289","False"
"toy.mzn","Spread","toy_13_13.dzn","Chuffed",1200000,13,"Dcmp","True","510459","False","1199945","315196","4389","28043178","22","79","315196","51712","4388","False"
"toy.mzn","Spread","toy_35_36.dzn","Chuffed",1200000,35,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_38_38.dzn","Chuffed",1200000,38,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_24_27.dzn","Chuffed",1200000,24,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_17_21.dzn","Chuffed",1200000,17,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_8_9.dzn","Chuffed",1200000,8,"Dcmp","True","3310","True","111500","441784","1188","25367305","17","133","441784","29189","1187","False"
"toy.mzn","Spread","toy_26_30.dzn","Chuffed",1200000,26,"Dcmp","True","TIMEOUT/ERROR","False","4740","3094","1","266495","35","32","3094","4870","0","True"
"toy.mzn","Spread","toy_17_17.dzn","Chuffed",1200000,17,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_4_8.dzn","Chuffed",1200000,4,"Dcmp","True","0","True","80","40","9","2972","13","14","40","7","9","False"
"toy.mzn","Gini","toy_32_36.dzn","Chuffed",1200000,32,"Dcmp","True","TIMEOUT/ERROR","False","90","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Gini","toy_21_25.dzn","Chuffed",1200000,21,"Dcmp","True","TIMEOUT/ERROR","False","1200540","1311237","1","2006118707","487","176","1311237","355260","0","False"
"toy.mzn","Spread","toy_10_14.dzn","Chuffed",1200000,10,"Dcmp","True","91541","False","1199942","1080428","600","67090704","19","55","1080428","71250","599","False"
"toy.mzn","Gini","toy_4_8.dzn","Chuffed",1200000,4,"Dcmp","True","0","True","90","31","13","9795","25","15","31","7","13","False"
"toy.mzn","Spread","toy_31_32.dzn","Chuffed",1200000,31,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_26_27.dzn","Chuffed",1200000,26,"Dcmp","True","TIMEOUT/ERROR","False","680","1","0","60267","586","0","1","0","0","True"
"toy.mzn","Gini","toy_26_28.dzn","Chuffed",1200000,26,"Dcmp","True","TIMEOUT/ERROR","False","610","1","0","57958","520","0","1","0","0","True"
"toy.mzn","Spread","toy_25_26.dzn","Chuffed",1200000,25,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_2_2.dzn","Chuffed",1200000,2,"Dcmp","True","0","True","200","0","1","76","11","6","0","0","1","False"
"toy.mzn","Gini","toy_26_26.dzn","Chuffed",1200000,26,"Dcmp","True","TIMEOUT/ERROR","False","1200750","34964","1","1013166077","679","77","34964","5238","0","False"
"toy.mzn","Spread","toy_39_39.dzn","Chuffed",1200000,39,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_36_36.dzn","Chuffed",1200000,36,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_3_7.dzn","Chuffed",1200000,3,"Dcmp","True","0","True","80","23","16","3166","13","8","23","7","16","False"
"toy.mzn","Spread","toy_6_6.dzn","Chuffed",1200000,6,"Dcmp","True","4033","True","1120","14935","501","704511","15","458","14935","2755","500","False"
"toy.mzn","Gini","toy_33_33.dzn","Chuffed",1200000,33,"Dcmp","True","TIMEOUT/ERROR","False","90","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
