"mzn","version","dzn","solver","timeout","n","mode","learning","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"toy.mzn","Spread","toy_27_27.dzn","Chuffed",1200000,27,"LB","True","9285550","False","1199946","59367232","1837","442978838","4","438","59367232","33497677","1836","False"
"toy.mzn","Gini","toy_2_4.dzn","Chuffed",1200000,2,"LB","True","0","True","100","1","2","19","4","3","1","0","2","False"
"toy.mzn","Spread","toy_18_20.dzn","Chuffed",1200000,18,"LB-TL","True","2225783","False","1199941","100677457","1309","784010193","4","2183","100677457","67958984","1308","False"
"toy.mzn","Gini","toy_29_30.dzn","Chuffed",1200000,29,"LB-TL","True","4292","False","1200150","35814074","60","366729565","4","359","35814074","74845170","59","False"
"toy.mzn","Gini","toy_20_21.dzn","Chuffed",1200000,20,"Simp","True","2106","False","1199941","74235326","60","335822569","4","372","74235326","10716413","59","False"
"toy.mzn","Gini","toy_3_3.dzn","Chuffed",1200000,3,"LB-TL","True","0","True","90","41","13","552","4","8","41","25","13","False"
"toy.mzn","Spread","toy_5_6.dzn","Chuffed",1200000,5,"Simp","True","2560","True","2140","331115","29","1423737","4","18","331115","6433","28","False"
"toy.mzn","Gini","toy_22_26.dzn","Chuffed",1200000,22,"Simp","True","2138","False","1199940","68301229","22","284252889","4","157","68301229","1183194","21","False"
"toy.mzn","Spread","toy_16_19.dzn","Chuffed",1200000,16,"LB","True","782977","False","2420","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","2261","False"
"toy.mzn","Gini","toy_38_42.dzn","Chuffed",1200000,38,"LB-TL","True","4338","False","1199950","34838839","39","193961408","4","519","34838839","6057760","38","False"
"toy.mzn","Gini","toy_13_16.dzn","Chuffed",1200000,13,"LB-TL","True","3239","False","1199930","106193631","325","544943758","4","78","106193631","2404312","324","False"
"toy.mzn","Gini","toy_25_29.dzn","Chuffed",1200000,25,"LB-TL","True","3382","False","1199954","62321398","181","380167451","4","454","62321398","41766919","180","False"
"toy.mzn","Gini","toy_10_10.dzn","Chuffed",1200000,10,"LB-TL","True","845","False","1199931","78379972","548","392985606","4","237","78379972","5286422","547","False"
"toy.mzn","Gini","toy_32_33.dzn","Chuffed",1200000,32,"LB","True","3802","False","1199953","24236807","145","260845010","4","320","24236807","48620471","144","False"
"toy.mzn","Gini","toy_14_14.dzn","Chuffed",1200000,14,"LB","True","3788","False","1199932","118898538","387","692472468","4","126","118898538","64540435","386","False"
