"mzn","dzn","solver","timeout","nJ","nM","nA","mode","case","learning","UTIL","disp","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"Gini","ta67_4a_alloc2.dzn","Chuffed",1200000,50,20,4,"Simp","mindis","TRUE","17643","233","233","FALSE","1199329","160890","8","251192499","5062","1010","160890","247645","7","FALSE"
"Gini","ta66_3a_alloc3.dzn","Chuffed",1200000,50,20,3,"Simp","mindis","TRUE","19205","61","61","FALSE","1199297","146625","10","221552564","5058","1003","146625","216771","9","FALSE"
"Spread","ta43_3a_alloc1.dzn","Chuffed",1200000,30,20,3,"LB-TL","maxeff","TRUE","10788","504088","-10788","TRUE","61870","19938","26","42452133","3042","606","19938","50921","25","FALSE"
"Spread","ta80_5a_alloc2.dzn","Chuffed",1200000,100,20,5,"LB","mindis","TRUE","33637","353314","353314","FALSE","19760","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","19","FALSE"
"Spread","ta74_8a_alloc2.dzn","Chuffed",1200000,100,20,8,"LB","mindis","TRUE","37768","1730429","1730429","FALSE","18930","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","14","FALSE"
"Spread","ta69_3a_alloc2.dzn","Chuffed",1200000,50,20,3,"Simp","mindis","TRUE","17977","68928","68928","FALSE","1199358","157707","25","252810980","5064","1015","157707","222159","24","FALSE"
"Spread","ta71_5a_alloc2.dzn","Chuffed",1200000,100,20,5,"LB-TL","maxeff","TRUE","38842","2773283","-38842","FALSE","47960","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","184","FALSE"
"Gini","ta74_5a_alloc1.dzn","Chuffed",1200000,100,20,5,"LB","maxeff","TRUE","44119","1018","-44119","FALSE","23040","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","110","FALSE"
"Spread","ta54_3a_alloc3.dzn","Chuffed",1200000,50,15,3,"LB-TL","mindis","TRUE","14502","1016824","1016824","FALSE","1199518","153824","3","237435194","3813","762","153824","234816","2","FALSE"
"Spread","ta33_3a_alloc3.dzn","Chuffed",1200000,30,15,3,"Simp","mindis","TRUE","9120","33680","33680","FALSE","1199636","310932","6","308134732","2297","453","310932","215904","5","FALSE"
"Spread","ta80_7a_alloc2.dzn","Chuffed",1200000,100,20,7,"LB-TL","mindis","TRUE","33637","894090","894090","FALSE","17670","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","20","FALSE"
"Spread","ta59_5a_alloc3.dzn","Chuffed",1200000,50,15,5,"Simp","maxeff","TRUE","13528","532202","-13528","FALSE","1199481","200089","97","249253104","3815","760","200089","138027","96","FALSE"
"Spread","ta36_2a_alloc2.dzn","Chuffed",1200000,30,15,2,"LB","mindis","TRUE","9219","0","0","TRUE","345270","89240","7","118945956","2297","453","89240","58754","6","FALSE"
"Gini","ta77_6a_alloc1.dzn","Chuffed",1200000,100,20,6,"LB-TL","mindis","TRUE","34866","497","497","FALSE","16240","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","31","FALSE"
"Gini","ta35_3a_alloc3.dzn","Chuffed",1200000,30,15,3,"LB","mindis","TRUE","10126","18","18","FALSE","1199653","279798","14","323318092","2293","453","279798","209185","13","FALSE"
"Spread","ta74_10a_alloc3.dzn","Chuffed",1200000,100,20,10,"LB-TL","maxeff","TRUE","18279","729894","-18279","FALSE","17610","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","113","FALSE"
"Gini","ta32_2a_alloc1.dzn","Chuffed",1200000,30,15,2,"LB","maxeff","TRUE","10539","1253","-10539","FALSE","1199668","246613","39","397320166","2297","458","246613","148065","38","FALSE"
"Gini","ta38_2a_alloc2.dzn","Chuffed",1200000,30,15,2,"LB-TL","maxeff","TRUE","8998","979","-8998","FALSE","1199668","259696","25","433009698","2297","459","259696","111987","24","FALSE"
"Gini","ta57_5a_alloc1.dzn","Chuffed",1200000,50,15,5,"LB-TL","maxeff","TRUE","15758","1697","-15758","FALSE","1199522","180057","81","211169069","3815","765","180057","125770","80","FALSE"
"Spread","ta72_8a_alloc1.dzn","Chuffed",1200000,100,20,8,"Simp","maxeff","TRUE","22061","1212435","-22061","FALSE","1198644","173507","121","391655864","10098","2158","173507","309517","120","FALSE"
