"mzn","dzn","solver","timeout","nJ","nM","nA","mode","case","learning","UTIL","disp","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"Gini","ta69_4a_alloc3.dzn","Chuffed",1200000,50,20,4,"Dcmp","maxeff","TRUE","19765","1680","-19765","FALSE","1199301","148447","46","242258801","5089","1016","148447","113527","45","FALSE"
"Gini","ta63_5a_alloc3.dzn","Chuffed",1200000,50,20,5,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"Spread","ta47_3a_alloc2.dzn","Chuffed",1200000,30,20,3,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta76_6a_alloc2.dzn","Chuffed",1200000,100,20,6,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta73_5a_alloc1.dzn","Chuffed",1200000,100,20,5,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta33_3a_alloc3.dzn","Chuffed",1200000,30,15,3,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta77_10a_alloc2.dzn","Chuffed",1200000,100,20,10,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta72_5a_alloc3.dzn","Chuffed",1200000,100,20,5,"Dcmp","maxeff","TRUE","42834","990","-42834","FALSE","28060","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","124","FALSE"
"Spread","ta58_3a_alloc3.dzn","Chuffed",1200000,50,15,3,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta71_8a_alloc3.dzn","Chuffed",1200000,100,20,8,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta42_2a_alloc3.dzn","Chuffed",1200000,30,20,2,"Dcmp","maxeff","TRUE","11727","887","-11727","FALSE","1199585","182739","29","415227042","3058","607","182739","110085","28","FALSE"
"Gini","ta66_4a_alloc3.dzn","Chuffed",1200000,50,20,4,"Dcmp","maxeff","TRUE","17666","1956","-17666","FALSE","1199303","149268","47","237140513","5083","1015","149268","90947","46","FALSE"
"Gini","ta53_4a_alloc1.dzn","Chuffed",1200000,50,15,4,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"Spread","ta44_3a_alloc2.dzn","Chuffed",1200000,30,20,3,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta71_10a_alloc3.dzn","Chuffed",1200000,100,20,10,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta80_9a_alloc1.dzn","Chuffed",1200000,100,20,9,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta60_5a_alloc3.dzn","Chuffed",1200000,50,15,5,"Dcmp","maxeff","TRUE","13972","1777","-13972","FALSE","1199473","192604","30","223444934","3854","764","192604","146587","29","FALSE"
"Gini","ta46_3a_alloc3.dzn","Chuffed",1200000,30,20,3,"Dcmp","mindis","TRUE","10488","18","18","FALSE","1199564","228468","15","394209569","3064","604","228468","146046","14","FALSE"
"Spread","ta52_5a_alloc3.dzn","Chuffed",1200000,50,15,5,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta70_3a_alloc3.dzn","Chuffed",1200000,50,20,3,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta63_4a_alloc2.dzn","Chuffed",1200000,50,20,4,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"Spread","ta50_2a_alloc2.dzn","Chuffed",1200000,30,20,2,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta55_3a_alloc1.dzn","Chuffed",1200000,50,15,3,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta64_5a_alloc3.dzn","Chuffed",1200000,50,20,5,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta45_2a_alloc3.dzn","Chuffed",1200000,30,20,2,"Dcmp","maxeff","TRUE","12273","376","-12273","FALSE","1199594","164798","24","401148947","3050","609","164798","107756","23","FALSE"
"Gini","ta48_2a_alloc3.dzn","Chuffed",1200000,30,20,2,"Dcmp","maxeff","TRUE","11226","1772","-11226","FALSE","1199562","176986","36","430481011","3056","609","176986","116962","35","FALSE"
"Spread","ta52_3a_alloc2.dzn","Chuffed",1200000,50,15,3,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta54_5a_alloc2.dzn","Chuffed",1200000,50,15,5,"Dcmp","mindis","TRUE","16943","1340","1340","FALSE","1199465","280200","5","184188084","3850","828","280200","190992","4","FALSE"
"Gini","ta74_6a_alloc2.dzn","Chuffed",1200000,100,20,6,"Dcmp","mindis","TRUE","37934","526","526","FALSE","31930","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","15","FALSE"
"Gini","ta39_3a_alloc3.dzn","Chuffed",1200000,30,15,3,"Dcmp","maxeff","TRUE","10073","1739","-10073","FALSE","1199653","176597","30","259993338","2305","457","176597","204863","29","FALSE"
"Spread","ta80_9a_alloc2.dzn","Chuffed",1200000,100,20,9,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta57_4a_alloc2.dzn","Chuffed",1200000,50,15,4,"Dcmp","mindis","TRUE","12897","173","173","FALSE","1199517","166259","17","195990588","3832","766","166259","93690","16","FALSE"
"Spread","ta79_6a_alloc1.dzn","Chuffed",1200000,100,20,6,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta53_4a_alloc1.dzn","Chuffed",1200000,50,15,4,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta37_3a_alloc1.dzn","Chuffed",1200000,30,15,3,"Dcmp","mindis","TRUE","8806","9","9","FALSE","1199663","303852","21","362742613","2311","459","303852","185051","20","FALSE"
"Spread","ta72_7a_alloc2.dzn","Chuffed",1200000,100,20,7,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta73_7a_alloc3.dzn","Chuffed",1200000,100,20,7,"Dcmp","mindis","TRUE","35540","877","877","FALSE","36420","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","24","FALSE"
"Gini","ta59_4a_alloc3.dzn","Chuffed",1200000,50,15,4,"Dcmp","maxeff","TRUE","6685","1995","-6685","FALSE","1199506","443771","26","281799014","3834","757","443771","837687","25","FALSE"
"Spread","ta35_2a_alloc2.dzn","Chuffed",1200000,30,15,2,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta34_3a_alloc2.dzn","Chuffed",1200000,30,15,3,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"Gini","ta69_3a_alloc1.dzn","Chuffed",1200000,50,20,3,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"Spread","ta66_3a_alloc1.dzn","Chuffed",1200000,50,20,3,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta66_3a_alloc1.dzn","Chuffed",1200000,50,20,3,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"Spread","ta69_4a_alloc1.dzn","Chuffed",1200000,50,20,4,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta72_9a_alloc3.dzn","Chuffed",1200000,100,20,9,"Dcmp","maxeff","TRUE","13736","1804","-13736","FALSE","8210","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","30","FALSE"
"Spread","ta55_3a_alloc2.dzn","Chuffed",1200000,50,15,3,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta72_9a_alloc3.dzn","Chuffed",1200000,100,20,9,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta37_3a_alloc1.dzn","Chuffed",1200000,30,15,3,"Dcmp","maxeff","TRUE","9661","883","-9661","FALSE","1199666","177050","25","301606168","2313","460","177050","212428","24","FALSE"
"Gini","ta53_5a_alloc2.dzn","Chuffed",1200000,50,15,5,"Dcmp","mindis","TRUE","13558","1457","1457","FALSE","1199479","157036","9","234135137","3846","766","157036","151282","8","FALSE"
"Spread","ta72_5a_alloc3.dzn","Chuffed",1200000,100,20,5,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta65_4a_alloc1.dzn","Chuffed",1200000,50,20,4,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta36_2a_alloc1.dzn","Chuffed",1200000,30,15,2,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta43_3a_alloc2.dzn","Chuffed",1200000,30,20,3,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta72_5a_alloc3.dzn","Chuffed",1200000,100,20,5,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta63_5a_alloc2.dzn","Chuffed",1200000,50,20,5,"Dcmp","maxeff","TRUE","15995","1670","-15995","FALSE","1199299","89404","30","258784455","5105","1015","89404","84350","29","FALSE"
"Spread","ta43_3a_alloc3.dzn","Chuffed",1200000,30,20,3,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta59_3a_alloc2.dzn","Chuffed",1200000,50,15,3,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta75_5a_alloc1.dzn","Chuffed",1200000,100,20,5,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta38_3a_alloc2.dzn","Chuffed",1200000,30,15,3,"Dcmp","maxeff","TRUE","8901","1596","-8901","FALSE","1199653","203084","31","282166643","2311","459","203084","265211","30","FALSE"
"Gini","ta78_5a_alloc3.dzn","Chuffed",1200000,100,20,5,"Dcmp","maxeff","TRUE","14320","1975","-14320","FALSE","1198645","137575","51","256396625","10125","2014","137575","370133","50","FALSE"
"Spread","ta66_4a_alloc2.dzn","Chuffed",1200000,50,20,4,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta53_4a_alloc3.dzn","Chuffed",1200000,50,15,4,"Dcmp","mindis","TRUE","17200","95","95","FALSE","1199446","251011","24","256094648","3832","766","251011","229567","23","FALSE"
"Spread","ta54_5a_alloc3.dzn","Chuffed",1200000,50,15,5,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta71_10a_alloc3.dzn","Chuffed",1200000,100,20,10,"Dcmp","mindis","TRUE","34137","1195","1195","FALSE","28560","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","8","FALSE"
"Spread","ta77_6a_alloc3.dzn","Chuffed",1200000,100,20,6,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta79_6a_alloc3.dzn","Chuffed",1200000,100,20,6,"Dcmp","maxeff","TRUE","40280","1090","-40280","FALSE","20980","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","106","FALSE"
"Spread","ta31_2a_alloc2.dzn","Chuffed",1200000,30,15,2,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Spread","ta44_3a_alloc3.dzn","Chuffed",1200000,30,20,3,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta58_3a_alloc3.dzn","Chuffed",1200000,50,15,3,"Dcmp","maxeff","TRUE","15073","951","-15073","FALSE","1199472","197256","73","221161095","3833","764","197256","201614","72","FALSE"
"Spread","ta79_5a_alloc3.dzn","Chuffed",1200000,100,20,5,"Dcmp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta40_2a_alloc2.dzn","Chuffed",1200000,30,15,2,"Dcmp","mindis","TRUE","8553","0","0","TRUE","181580","55461","12","61289056","2295","482","55461","56878","11","FALSE"
"Gini","ta51_5a_alloc2.dzn","Chuffed",1200000,50,15,5,"Dcmp","mindis","TRUE","14663","2341","2341","FALSE","1199478","102643","11","214129282","3850","764","102643","191199","10","FALSE"
"Spread","ta72_9a_alloc3.dzn","Chuffed",1200000,100,20,9,"Dcmp","maxeff","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","FALSE"
"Gini","ta46_2a_alloc3.dzn","Chuffed",1200000,30,20,2,"Dcmp","maxeff","TRUE","13237","826","-13237","FALSE","1199569","165974","32","344211770","3058","608","165974","118304","31","FALSE"
